barrio;count
robledo;992
manrique central no. 1;470
san javier no.1;405
aranjuez;383
belen;377
buenos aires;363
popular;361
cabecera san cristobal;343
castilla;328
enciso;308
manrique central no. 2;255
santa cruz;246
santo domingo savio;244
cabecera san antonio;240
campo valdes no. 1;228
barrio caicedo;224
manrique oriental;224
doce de octubre no.1;195
moravia;171
la milagrosa;169
villa hermosa;164
el salvador;121
andalucia;117
pedregal;115
guayabal;114
belencito;89
la floresta;87
20 de julio;86
villatina;86
playon de los;82
granizal;78
florencia;73
picacho;70
santander;67
calasanz;65
boston;59
santa elena central;53
centro admtivo;52
san pablo;49
carpinelo;49
juan xxiii la quiebra;48
llanaditas;48
la francia;48
alfonso lopez;47
altavista;45
trinidad;43
villa del socorro;41
villa niza;41
las palmas;41
boyaca;40
girardot;38
picachito;36
pablo vi;36
kennedy;34
olaya herrera;34
loreto;34
la pradera;32
francisco antonio zea;31
santa lucia;30
prado;30
toscana;27
lopez de mesa;27
la candelaria;26
blanquizal;26
13 de noviembre;25
san diego;25
belalcazar;24
palmitas;24
la america;24
tejelo;24
cordoba;23
el socorro;22
san jose de la cima no.;22
san_javier_no.1;21
tricentenario;21
la loma;20
san javier no.2;20
la esperanza;20
campo valdes no. 2;20
la libertad;19
manrique_central_no._1;17
manrique_central_no._2;17
sucre;17
miranda;17
la sierra;17
la avanzada;16
el chagualo;14
nuevos conquistadores;14
cristo rey;14
bombona no. 1;13
versalles no. 1;12
san german;12
el compromiso;12
el pinal;11
santo_domingo_savio_;11
buenos_aires;11
palermo;11
aures no. 2;10
antonio nariño;10
barrio_caicedo;10
santa rosa de lima;10
aguas frias;9
villa guadalupe;9
jesus nazareno;9
san antonio;9
santa_cruz;9
san benito;9
la colina;9
sevilla;8
las brisas;8
cabecera_san_cristobal;8
los mangos;8
campo_valdes_no._1;8
jardin botanico;8
el vergel;8
doce_de_octubre_no.1;8
vrda. san cristobal;7
el poblado;7
bello horizonte;7
bel¿n;7
cabecera_san_antonio_;7
la cruz;7
santa monica;7
manrique_oriental;7
las violetas;7
calasanz parte alta;6
pajarito;6
versalles no. 2;6
la_milagrosa;6
el salado;6
alejandro echavarria;6
el pesebre;6
el triunfo;6
el corazon;6
la ladera;6
santa ines;6
zona expansion san;6
campo amor;5
villa_hermosa;5
eduardo santos;5
juan pablo ii;5
san pedro;5
pedregal alto;5
el diamante;5
el rodeo;5
ocho de marzo;5
la salle;5
el_salvador;4
los cerros el vergel;4
metropolitano;4
la isla;4
20_de_julio;4
cataluna;4
maria cano;4
playon_de_los_;4
las granjas;3
los alcazares;3
palenque;3
bombona no. 2;3
naranjal;3
francisco_antonio_zea;3
santa margarita;3
laureles;3
olaya_herrera;3
bosques de san pablo;3
san martin de porres;3
la frontera;3
el_socorro;3
vrda. san antonio;3
las_palmas;3
la esperanza no. 2;2
suburbano altavista;2
la palma;2
moscu no. 1;2
doce de octubre no.2;2
san josé de la montaña;2
el progreso no.2;2
el rincon;2
la_floresta;2
la mansion;2
san bernardo;2
miraflores;2
la oculta;2
villa_niza;2
progreso;2
la florida;2
las esmeraldas;2
la loma oriental;2
la_libertad;2
gerona;2
villa_del_socorro;2
barrio colon;2
el astillero;2
fuente clara;2
yarumalito;2
caribe;2
rosales;2
hector abad gomez;2
san_diego;2
santa_elena_central;2
santa_lucia;2
santa teresita;2
universidad de;1
florida nueva;1
monteclaro;1
alfonso_lopez;1
la_pradera;1
la aldea;1
villa flora;1
oleoducto;1
manila;1
moscu_no._1;1
mirador del doce;1
suburbano barro;1
vrda. palmitas;1
antonio nari¿o;1
campo_valdes_no._2;1
eduardo_santos;1
san joaquin;1
13_de_noviembre;1
granada;1
barrio_cristobal;1
campo alegre;1
el raizal;1
san_jose_de_la_cima_no._;1
santa fe;1
veinte de julio;1
las independencias;1
loma de los bernal;1
altamira;1
villa liliam;1
bombona_no._1;1
suburbano santa elena;1
barro blanco;1
la aguacatala;1
la cuchilla;1
jesus_nazareno;1
san_javier_no.2;1
vrda. santa elena;1
sin barrio;1
santa maria de los;1
parque norte;1
santa_monica;1
antonio_nariño;1
villa_guadalupe;1
el_diamante;1
juan_xxiii_la_quiebra;1
santa_rosa_de_lima;1
barrio colombia;1
villa nueva;1
barrio cristobal;1
brasilia;1
san_pablo;1
juan_pablo_ii;1
travesias;1
carlos e. restrepo;1
san isidro;1
barrio de jesus;1
versalles_no._1;1
pablo_vi;1
santa_ines;1
la volcana y guayabal;1
oriente;1
betania;1
la hondonada;1
aures no.1;1
los angeles;1
moscu no. 2;1
fatima;1
villa turbay;1
miravalle;1
el_compromiso;1
el estadio;1
el llano;1
